"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GSTO14",1.42335886873808e-16,0.627556639144639,0.844,0.628,3.47029125787031e-12,"7","GSTO1"
"JMJD1C2",1.52881678568696e-16,0.859336219533652,0.743,0.519,3.72740820518339e-12,"7","JMJD1C"
"SDSL",1.93913539335792e-16,1.30750760828577,0.427,0.201,4.72780600254594e-12,"7","SDSL"
"SLC8B1",1.94365772290084e-16,1.37877018534499,0.33,0.131,4.73883189420455e-12,"7","SLC8B1"
"PLEKHO11",1.97192737125409e-16,1.01594696888472,0.573,0.318,4.80775612385461e-12,"7","PLEKHO1"
"ABRACL1",2.51792310138257e-16,0.898621437626566,0.486,0.244,6.13894831348085e-12,"7","ABRACL"
"PTPRE2",2.6660365597831e-16,1.12226036525479,0.528,0.281,6.50006373640717e-12,"7","PTPRE"
"ABCG13",2.91475724243535e-16,0.921290010436503,0.413,0.175,7.10646963278164e-12,"7","ABCG1"
"IL10RB",3.08354102398114e-16,1.49156164631898,0.394,0.185,7.51798137056842e-12,"7","IL10RB"
"TOM11",3.28027346311058e-16,1.09571341040147,0.454,0.217,7.9976347304099e-12,"7","TOM1"
"CREBL2",3.55839920178933e-16,1.29446995994249,0.39,0.176,8.67573309388256e-12,"7","CREBL2"
"EIF4A31",6.86173800335663e-16,1.25517087893258,0.739,0.567,1.67296034259838e-11,"7","EIF4A3"
"AC016831.5",8.61115966008189e-16,1.18303159411433,0.404,0.182,2.09948683672457e-11,"7","AC016831.5"
"GM2A1",1.11802924968942e-15,1.16241503306721,0.353,0.147,2.72586711366779e-11,"7","GM2A"
"ATP6V0D13",1.2698028308082e-15,0.773675874136478,0.803,0.595,3.09590628179347e-11,"7","ATP6V0D1"
"RPS3A2",1.27818342121422e-15,0.279530719065993,0.995,0.983,3.1163389992624e-11,"7","RPS3A"
"NAMPT3",1.4969050972686e-15,0.396719135678646,0.986,0.813,3.64960431765057e-11,"7","NAMPT"
"TNFSF122",1.68263670643868e-15,1.15288100400886,0.454,0.234,4.10243655396815e-11,"7","TNFSF12"
"TLNRD12",2.41479749001136e-15,1.08459671577321,0.381,0.167,5.8875177603967e-11,"7","TLNRD1"
"NFIL32",2.58313381442154e-15,0.964860291399843,0.651,0.422,6.29793855294117e-11,"7","NFIL3"
